Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
Q8JIY1	ADA10_XENLA	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (xKuz)	adam10 kuz	Xenopus laevis (African clawed frog)	749	Notch signaling pathway [GO:0007219]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of cell adhesion [GO:0007162]; protein phosphorylation [GO:0006468]	Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of cell adhesion [GO:0007162]; Notch signaling pathway [GO:0007219]; protein phosphorylation [GO:0006468]	SH3 domain binding [GO:0017124]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]	GO:0004222; GO:0005634; GO:0005737; GO:0005794; GO:0005798; GO:0006468; GO:0006509; GO:0007162; GO:0007219; GO:0008237; GO:0009986; GO:0016021; GO:0017124; GO:0019901; GO:0042803; GO:0046872
Q99J21	MCLN1_MOUSE	reviewed	Mucolipin-1 (Mucolipidin) (Transient receptor potential-mucolipin 1) (TRPML1)	Mcoln1	Mus musculus (Mouse)	580	adaptive immune response [GO:0002250]; autophagosome maturation [GO:0097352]; calcium ion transmembrane transport [GO:0070588]; cation transmembrane transport [GO:0098655]; cellular response to calcium ion [GO:0071277]; cellular response to pH [GO:0071467]; endosomal transport [GO:0016197]; protein homotetramerization [GO:0051289]; release of sequestered calcium ion into cytosol [GO:0051209]	cell projection [GO:0042995]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular vesicle [GO:0097708]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; phagocytic cup [GO:0001891]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cell projection [GO:0042995]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular vesicle [GO:0097708]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; phagocytic cup [GO:0001891]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; cation channel activity [GO:0005261]; intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity [GO:0097682]; ligand-gated calcium channel activity [GO:0099604]; lipid binding [GO:0008289]; NAADP-sensitive calcium-release channel activity [GO:0072345]; adaptive immune response [GO:0002250]; autophagosome maturation [GO:0097352]; calcium ion transmembrane transport [GO:0070588]; cation transmembrane transport [GO:0098655]; cellular response to calcium ion [GO:0071277]; cellular response to pH [GO:0071467]; endosomal transport [GO:0016197]; protein homotetramerization [GO:0051289]; release of sequestered calcium ion into cytosol [GO:0051209]	NAADP-sensitive calcium-release channel activity [GO:0072345]; cation channel activity [GO:0005261]; intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity [GO:0097682]; ligand-gated calcium channel activity [GO:0099604]; lipid binding [GO:0008289]	GO:0001891; GO:0002250; GO:0005261; GO:0005764; GO:0005765; GO:0005770; GO:0005829; GO:0005886; GO:0008289; GO:0016020; GO:0016021; GO:0016197; GO:0030670; GO:0031902; GO:0042995; GO:0043235; GO:0051209; GO:0051289; GO:0070588; GO:0071277; GO:0071467; GO:0072345; GO:0097352; GO:0097682; GO:0097708; GO:0098655; GO:0099604
P11414	RPB1_CRIGR	reviewed	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit)	POLR2A	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	1970	positive regulation of RNA splicing [GO:0033120]; transcription by RNA polymerase II [GO:0006366]	RNA polymerase II, core complex [GO:0005665]; cytoplasm [GO:0005737]; nuclear euchromatin [GO:0005719]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nuclear euchromatin [GO:0005719]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; core promoter binding [GO:0001047]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; promoter-specific chromatin binding [GO:1990841]; positive regulation of RNA splicing [GO:0033120]; transcription by RNA polymerase II [GO:0006366]	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; core promoter binding [GO:0001047]; metal ion binding [GO:0046872]; promoter-specific chromatin binding [GO:1990841]	GO:0001047; GO:0003899; GO:0005634; GO:0005665; GO:0005719; GO:0005737; GO:0006366; GO:0033120; GO:0046872; GO:1990841
Q6PBA8	MNS1_DANRE	reviewed	Meiosis-specific nuclear structural protein 1	mns1 zgc:65845	Danio rerio (Zebrafish) (Brachydanio rerio)	486	cilium organization [GO:0044782]; meiotic cell cycle [GO:0051321]	motile cilium [GO:0031514]; nucleus [GO:0005634]	motile cilium [GO:0031514]; nucleus [GO:0005634]; cilium organization [GO:0044782]; meiotic cell cycle [GO:0051321]		GO:0005634; GO:0031514; GO:0044782; GO:0051321
Q8N6F8	MET27_HUMAN	reviewed	Methyltransferase-like protein 27 (Williams-Beuren syndrome chromosomal region 27 protein)	METTL27 WBSCR27	Homo sapiens (Human)	245					
Q4ZJM9	C1QL4_MOUSE	reviewed	Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)	C1ql4 C1qtnf11 Ctrp11	Mus musculus (Mouse)	238	negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of fibroblast proliferation [GO:0048147]	collagen trimer [GO:0005581]; extracellular space [GO:0005615]	collagen trimer [GO:0005581]; extracellular space [GO:0005615]; identical protein binding [GO:0042802]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of fibroblast proliferation [GO:0048147]	identical protein binding [GO:0042802]	GO:0005581; GO:0005615; GO:0042802; GO:0045599; GO:0048147; GO:0070373
O60331	PI51C_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)	PIP5K1C KIAA0589	Homo sapiens (Human)	668	actin cytoskeleton organization [GO:0030036]; adherens junction assembly [GO:0034333]; cell-cell adhesion [GO:0098609]; clathrin-dependent endocytosis [GO:0072583]; membrane organization [GO:0061024]; neutrophil chemotaxis [GO:0030593]; phagocytosis [GO:0006909]; phosphatidylinositol biosynthetic process [GO:0006661]; regulation of phosphatidylinositol 3-kinase signaling [GO:0014066]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891]; presynapse [GO:0098793]; ruffle membrane [GO:0032587]; uropod [GO:0001931]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891]; presynapse [GO:0098793]; ruffle membrane [GO:0032587]; uropod [GO:0001931]; 1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; ATP binding [GO:0005524]; actin cytoskeleton organization [GO:0030036]; adherens junction assembly [GO:0034333]; cell-cell adhesion [GO:0098609]; clathrin-dependent endocytosis [GO:0072583]; membrane organization [GO:0061024]; neutrophil chemotaxis [GO:0030593]; phagocytosis [GO:0006909]; phosphatidylinositol biosynthetic process [GO:0006661]; regulation of phosphatidylinositol 3-kinase signaling [GO:0014066]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]	1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; ATP binding [GO:0005524]	GO:0001891; GO:0001931; GO:0005524; GO:0005654; GO:0005829; GO:0005925; GO:0006661; GO:0006909; GO:0010008; GO:0014066; GO:0016079; GO:0016308; GO:0030036; GO:0030593; GO:0032587; GO:0034333; GO:0048488; GO:0061024; GO:0072583; GO:0098609; GO:0098793
Q6NRT3	SMU1_XENLA	reviewed	WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog)	smu1	Xenopus laevis (African clawed frog)	513	mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	U2-type precatalytic spliceosome [GO:0071005]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]		GO:0000381; GO:0000398; GO:0005634; GO:0005737; GO:0016607; GO:0071005
Q6P0C6	LHPL2_DANRE	reviewed	LHFPL tetraspan subfamily member 2a protein	lhfpl2a zgc:77456	Danio rerio (Zebrafish) (Brachydanio rerio)	225	development of primary female sexual characteristics [GO:0046545]; development of primary male sexual characteristics [GO:0046546]; positive regulation of fertilization [GO:1905516]; single fertilization [GO:0007338]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; development of primary female sexual characteristics [GO:0046545]; development of primary male sexual characteristics [GO:0046546]; positive regulation of fertilization [GO:1905516]; single fertilization [GO:0007338]		GO:0007338; GO:0016021; GO:0046545; GO:0046546; GO:1905516
Q80U22	RUSC2_MOUSE	reviewed	Iporin (Interacting protein of Rab1) (RUN and SH3 domain-containing protein 2)	Rusc2 Kiaa0375	Mus musculus (Mouse)	1514		cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Rab GTPase binding [GO:0017137]	Rab GTPase binding [GO:0017137]	GO:0005829; GO:0017137; GO:0031410
Q8CDN6	TXNL1_MOUSE	reviewed	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	Txnl1 Trp32 Txnl	Mus musculus (Mouse)	289	cell redox homeostasis [GO:0045454]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome complex [GO:0000502]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; disulfide oxidoreductase activity [GO:0015036]; cell redox homeostasis [GO:0045454]	disulfide oxidoreductase activity [GO:0015036]	GO:0000502; GO:0005634; GO:0005737; GO:0005829; GO:0015036; GO:0045454
P42519	STAR_DROME	reviewed	Protein Star	S CG4385	Drosophila melanogaster (Fruit fly)	597	behavioral response to ethanol [GO:0048149]; compound eye photoreceptor cell differentiation [GO:0001751]; compound eye retinal cell programmed cell death [GO:0046667]; determination of dorsal identity [GO:0048263]; determination of genital disc primordium [GO:0035225]; dorsal appendage formation [GO:0046843]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endosomal transport [GO:0016197]; epidermal growth factor receptor ligand maturation [GO:0038004]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; ommatidial rotation [GO:0016318]; photoreceptor cell fate determination [GO:0043703]; positive regulation of protein secretion [GO:0050714]; stem cell fate commitment [GO:0048865]; stomatogastric nervous system development [GO:0007421]; visual perception [GO:0007601]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; late endosome membrane [GO:0031902]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of endoplasmic reticulum membrane [GO:0030176]; late endosome membrane [GO:0031902]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; behavioral response to ethanol [GO:0048149]; compound eye photoreceptor cell differentiation [GO:0001751]; compound eye retinal cell programmed cell death [GO:0046667]; determination of dorsal identity [GO:0048263]; determination of genital disc primordium [GO:0035225]; dorsal appendage formation [GO:0046843]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endosomal transport [GO:0016197]; epidermal growth factor receptor ligand maturation [GO:0038004]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; ommatidial rotation [GO:0016318]; photoreceptor cell fate determination [GO:0043703]; positive regulation of protein secretion [GO:0050714]; stem cell fate commitment [GO:0048865]; stomatogastric nervous system development [GO:0007421]; visual perception [GO:0007601]		GO:0000139; GO:0001751; GO:0005783; GO:0005794; GO:0005886; GO:0006888; GO:0007421; GO:0007474; GO:0007476; GO:0007601; GO:0016197; GO:0016318; GO:0030176; GO:0031902; GO:0035225; GO:0038004; GO:0043703; GO:0046667; GO:0046843; GO:0048149; GO:0048263; GO:0048865; GO:0050714; GO:0061331; GO:0097038
P35280	RAB8A_RAT	reviewed	Ras-related protein Rab-8A	Rab8a Rab8	Rattus norvegicus (Rat)	207	Golgi vesicle fusion to target membrane [GO:0048210]; Rab protein signal transduction [GO:0032482]; autophagy [GO:0006914]; axonogenesis [GO:0007409]; cellular response to insulin stimulus [GO:0032869]; cilium assembly [GO:0060271]; glucose homeostasis [GO:0042593]; intracellular protein transport [GO:0006886]; neurotransmitter receptor transport to postsynaptic membrane [GO:0098969]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; positive regulation of glucose import [GO:0046326]; protein localization to plasma membrane [GO:0072659]; protein secretion [GO:0009306]; regulation of autophagy [GO:0010506]; regulation of exocytosis [GO:0017157]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of protein localization [GO:0032880]; regulation of protein transport [GO:0051223]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport in synapse [GO:0099003]	Golgi apparatus [GO:0005794]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endosome [GO:0005768]; glutamatergic synapse [GO:0098978]; midbody [GO:0030496]; neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; recycling endosome membrane [GO:0055038]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network transport vesicle [GO:0030140]	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endosome [GO:0005768]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; midbody [GO:0030496]; neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; recycling endosome membrane [GO:0055038]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network transport vesicle [GO:0030140]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; protein kinase binding [GO:0019901]; autophagy [GO:0006914]; axonogenesis [GO:0007409]; cellular response to insulin stimulus [GO:0032869]; cilium assembly [GO:0060271]; glucose homeostasis [GO:0042593]; Golgi vesicle fusion to target membrane [GO:0048210]; intracellular protein transport [GO:0006886]; neurotransmitter receptor transport to postsynaptic membrane [GO:0098969]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; positive regulation of glucose import [GO:0046326]; protein localization to plasma membrane [GO:0072659]; protein secretion [GO:0009306]; Rab protein signal transduction [GO:0032482]; regulation of autophagy [GO:0010506]; regulation of exocytosis [GO:0017157]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of protein localization [GO:0032880]; regulation of protein transport [GO:0051223]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport in synapse [GO:0099003]	GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; protein kinase binding [GO:0019901]	GO:0003924; GO:0005525; GO:0005768; GO:0005794; GO:0005813; GO:0005814; GO:0005886; GO:0006886; GO:0006904; GO:0006914; GO:0007409; GO:0008021; GO:0009306; GO:0010506; GO:0014069; GO:0017157; GO:0019003; GO:0019901; GO:0030140; GO:0030425; GO:0030496; GO:0030659; GO:0030670; GO:0031410; GO:0031489; GO:0032482; GO:0032869; GO:0032880; GO:0036064; GO:0042593; GO:0043025; GO:0043197; GO:0045202; GO:0045335; GO:0046326; GO:0048169; GO:0048210; GO:0051223; GO:0055038; GO:0060271; GO:0072659; GO:0097546; GO:0097730; GO:0098887; GO:0098969; GO:0098978; GO:0099003
