Entry	Entry name	Protein names	Gene ontology (biological process)
C5FZT5	FEN1_ARTOC	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	"DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]; base-excision repair, base-free sugar-phosphate removal [GO:0006286]; double-strand break repair via nonhomologous end joining [GO:0006303]; gene conversion at mating-type locus, DNA repair synthesis [GO:0000734]; maintenance of DNA trinucleotide repeats [GO:0035753]; replicative cell aging [GO:0001302]"
Q3UMB5	SMCR8_MOUSE	Guanine nucleotide exchange protein SMCR8 (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog)	autophagy [GO:0006914]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of gene expression [GO:0010629]; negative regulation of macroautophagy [GO:0016242]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of TOR signaling [GO:0032008]; positive regulation of autophagosome maturation [GO:1901098]; regulation of TORC1 signaling [GO:1903432]; regulation of autophagy [GO:0010506]
P11218	AGI_URTDI	Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1]	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]; polysaccharide catabolic process [GO:0000272]
Q12180	HAL9_YEAST	Halotolerance protein 9	"positive regulation of transcription by RNA polymerase II [GO:0045944]; response to salt stress [GO:0009651]; transcription, DNA-templated [GO:0006351]"
Q641Y5	ATG7_RAT	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like)	C-terminal protein lipidation [GO:0006501]; aging [GO:0007568]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cellular response to hyperoxia [GO:0071455]; cellular response to morphine [GO:0071315]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; defense response to virus [GO:0051607]; late nucleophagy [GO:0044805]; negative regulation of cell death [GO:0060548]; negative regulation of mitochondrial DNA replication [GO:0090298]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation by symbiont of host autophagy [GO:0075044]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein modification process [GO:0031401]; protein modification by small protein conjugation [GO:0032446]; protein transport [GO:0015031]; regulation of circadian rhythm [GO:0042752]; regulation of neuron death [GO:1901214]; response to fluoride [GO:1902617]; response to glucose [GO:0009749]; response to nutrient levels [GO:0031667]; rhythmic process [GO:0048511]; suppression by virus of host autophagy [GO:0039521]
Q6P5E4	UGGG1_MOUSE	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	ER-associated misfolded protein catabolic process [GO:0071712]; protein N-linked glycosylation via asparagine [GO:0018279]
Q54G78	SSRP1_DICDI	FACT complex subunit SSRP1 (Facilitates chromatin transcription complex subunit SSRP1) (Structure-specific recognition protein)	DNA repair [GO:0006281]; DNA replication [GO:0006260]; regulation of chromatin assembly or disassembly [GO:0001672]
Q9FZ59	PEPR2_ARATH	Leucine-rich repeat receptor-like protein kinase PEPR2 (EC 2.7.11.1) (Elicitor peptide 1 receptor 2) (PEP1 receptor 2)	defense response to bacterium [GO:0042742]; response to jasmonic acid [GO:0009753]; response to wounding [GO:0009611]
B8J0Q0	DNLJ_DESDA	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q5AAG1	EPL1_CANAL	Enhancer of polycomb-like protein 1	DNA repair [GO:0006281]; cell cycle [GO:0007049]; histone H4 acetylation [GO:0043967]; regulation of transcription by RNA polymerase II [GO:0006357]
Q96FC9	DDX11_HUMAN	ATP-dependent DNA helicase DDX11 (EC 3.6.4.12) (CHL1-related protein 1) (hCHLR1) (DEAD/H-box protein 11) (Keratinocyte growth factor-regulated gene 2 protein) (KRG-2)	DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; G-quadruplex DNA unwinding [GO:0044806]; IRE1-mediated unfolded protein response [GO:0036498]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to bleomycin [GO:1904976]; cellular response to cisplatin [GO:0072719]; cellular response to hydroxyurea [GO:0072711]; establishment of sister chromatid cohesion [GO:0034085]; multicellular organism development [GO:0007275]; negative regulation of protein binding [GO:0032091]; nucleolar chromatin organization [GO:1990700]; positive regulation of chromatin binding [GO:0035563]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of sister chromatid cohesion [GO:0045876]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]; replication fork processing [GO:0031297]; sister chromatid cohesion [GO:0007062]; viral process [GO:0016032]
Q9C9U3	DOX2_ARATH	Alpha-dioxygenase 2 (Alpha DOX2) (EC 1.14.99.-) (Fatty acid dioxygenase AlphaDOX2)	fatty acid metabolic process [GO:0006631]; leaf senescence [GO:0010150]; long-chain fatty acid metabolic process [GO:0001676]; oxylipin biosynthetic process [GO:0031408]; response to oxidative stress [GO:0006979]
P25372	TRX3_YEAST	"Thioredoxin-3, mitochondrial"	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; glycerol ether metabolic process [GO:0006662]
P08337	MUTT_ECOLI	"8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)"	DNA repair [GO:0006281]; DNA replication [GO:0006260]
B5D5N9	CTR2_RAT	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	L-arginine import across plasma membrane [GO:0097638]; L-ornithine transmembrane transport [GO:1903352]; arginine transport [GO:0015809]; macrophage activation [GO:0042116]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide production involved in inflammatory response [GO:0002537]; regulation of inflammatory response [GO:0050727]; regulation of macrophage activation [GO:0043030]
O89113	IER5_MOUSE	Immediate early response gene 5 protein	cellular response to heat [GO:0034605]; positive regulation of cellular response to heat [GO:1900036]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell population proliferation [GO:0042127]
Q9HFF5	PDS5_SCHPO	Sister chromatid cohesion protein pds5 (Precocious dissociation of sisters protein 5)	"DNA repair [GO:0006281]; attachment of spindle microtubules to kinetochore involved in meiotic sister chromatid segregation [GO:0051456]; cell division [GO:0051301]; establishment of mitotic sister chromatid cohesion [GO:0034087]; maintenance of mitotic sister chromatid cohesion [GO:0034088]; mitotic sister chromatid cohesion [GO:0007064]; negative regulation of mitotic cohesin loading [GO:1905412]; positive regulation of mitotic cohesin unloading [GO:1905411]; protein localization to chromatin [GO:0071168]; protein localization to chromosome, centromeric region [GO:0071459]; protein localization to kinetochore [GO:0034501]; protein localization to nuclear pericentric heterochromatin [GO:1902682]"
F1QFR9	PSM4A_DANRE	Proteasome activator complex subunit 4A (Proteasome activator PA200-A)	"DNA repair [GO:0006281]; cellular response to DNA damage stimulus [GO:0006974]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; spermatogenesis, exchange of chromosomal proteins [GO:0035093]"
Q13490	BIRC2_HUMAN	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)	I-kappaB kinase/NF-kappaB signaling [GO:0007249]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; NIK/NF-kappaB signaling [GO:0038061]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; cell surface receptor signaling pathway [GO:0007166]; inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of necroptotic process [GO:0060546]; negative regulation of ripoptosome assembly involved in necroptotic process [GO:1902443]; placenta development [GO:0001890]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein heterooligomerization [GO:0051291]; protein polyubiquitination [GO:0000209]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of cysteine-type endopeptidase activity [GO:2000116]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of nucleotide-binding oligomerization domain containing signaling pathway [GO:0070424]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of toll-like receptor signaling pathway [GO:0034121]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Q96PD2	DCBD2_HUMAN	"Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)"	intracellular receptor signaling pathway [GO:0030522]; negative regulation of cell growth [GO:0030308]; wound healing [GO:0042060]
O58394	NFI_PYRHO	Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)	DNA repair [GO:0006281]
Q1DKJ3	ATG18_COCIM	Autophagy-related protein 18	autophagy [GO:0006914]; protein transport [GO:0015031]
Q0K8D7	HTPG_CUPNH	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	protein folding [GO:0006457]
Q55F68	CYAD_DICDI	"Adenylate cyclase, terminal-differentiation specific (EC 4.6.1.1) (ACB) (ATP pyrophosphate-lyase) (Adenylyl cyclase)"	cAMP biosynthetic process [GO:0006171]; cytokinin-activated signaling pathway [GO:0009736]; phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310]; regulation of gene expression [GO:0010468]; response to caffeine [GO:0031000]; sorocarp development [GO:0030587]; sorocarp morphogenesis [GO:0031288]; sorocarp spore cell differentiation [GO:0044671]; sporulation resulting in formation of a cellular spore [GO:0030435]
O95782	AP2A1_HUMAN	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	"Golgi to endosome transport [GO:0006895]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; clathrin-dependent endocytosis [GO:0072583]; endocytosis [GO:0006897]; ephrin receptor signaling pathway [GO:0048013]; intracellular protein transport [GO:0006886]; low-density lipoprotein particle clearance [GO:0034383]; low-density lipoprotein particle receptor catabolic process [GO:0032802]; membrane organization [GO:0061024]; negative regulation of hyaluronan biosynthetic process [GO:1900126]; positive regulation of neuron projection development [GO:0010976]; positive regulation of receptor-mediated endocytosis [GO:0048260]; regulation of defense response to virus by virus [GO:0050690]"
Q8C0X8	SMKX_MOUSE	Sperm motility kinase X (EC 2.7.11.1)	intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]
P01025	CO3_PIG	Complement C3 [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	"complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; fatty acid metabolic process [GO:0006631]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of lipid storage [GO:0010884]; positive regulation of protein phosphorylation [GO:0001934]; regulation of triglyceride biosynthetic process [GO:0010866]"
P02674	FIBA1_PETMA	Fibrinogen alpha-1 chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha-1 chain] (Fragment)	platelet activation [GO:0030168]; protein polymerization [GO:0051258]
P38624	PSB1_YEAST	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit PRE3) (Multicatalytic endopeptidase complex subunit PRE3) (Proteasome component PRE3) (Proteinase YSCE subunit PRE3)	proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q7NG73	RUVC_GLOVI	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	recombinational repair [GO:0000725]; replication fork reversal [GO:0071932]
P97473	TRBP2_MOUSE	RISC-loading complex subunit TARBP2 (Protamine-1 RNA-binding protein) (PRM-1 RNA-binding protein) (TAR RNA-binding protein 2)	miRNA loading onto RISC involved in gene silencing by miRNA [GO:0035280]; multicellular organism growth [GO:0035264]; negative regulation of defense response to virus by host [GO:0050689]; neural precursor cell proliferation [GO:0061351]; positive regulation of muscle cell differentiation [GO:0051149]; positive regulation of translation [GO:0045727]; positive regulation of viral genome replication [GO:0045070]; pre-miRNA processing [GO:0031054]; production of miRNAs involved in gene silencing by miRNA [GO:0035196]; production of siRNA involved in RNA interference [GO:0030422]; regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903798]; regulation of production of siRNA involved in RNA interference [GO:0090065]; regulation of viral transcription [GO:0046782]; siRNA loading onto RISC involved in RNA interference [GO:0035087]; single fertilization [GO:0007338]; skeletal muscle tissue regeneration [GO:0043403]; spermatid development [GO:0007286]; targeting of mRNA for destruction involved in RNA interference [GO:0030423]
Q5QXC3	KATG1_IDILO	Catalase-peroxidase 1 (CP 1) (EC 1.11.1.21) (Peroxidase/catalase 1)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
Q7Z2W7	TRPM8_HUMAN	Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8)	calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; detection of temperature stimulus [GO:0016048]; positive regulation of cold-induced thermogenesis [GO:0120162]; protein homotetramerization [GO:0051289]; protein homotrimerization [GO:0070207]; response to cold [GO:0009409]; thermoception [GO:0050955]
Q0V9L1	MMS19_XENTR	MMS19 nucleotide excision repair protein homolog (MMS19-like protein)	"DNA metabolic process [GO:0006259]; DNA repair [GO:0006281]; cellular response to DNA damage stimulus [GO:0006974]; chromosome segregation [GO:0007059]; iron-sulfur cluster assembly [GO:0016226]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of transcription, DNA-templated [GO:0045893]; protein maturation by iron-sulfur cluster transfer [GO:0097428]"
Q9Z9C8	RADA_CHLPN	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA)	recombinational repair [GO:0000725]
O43542	XRCC3_HUMAN	DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via synthesis-dependent strand annealing [GO:0045003]; interstrand cross-link repair [GO:0036297]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; regulation of centrosome duplication [GO:0010824]; resolution of mitotic recombination intermediates [GO:0071140]; response to organic substance [GO:0010033]; t-circle formation [GO:0090656]; telomere maintenance via recombination [GO:0000722]; telomere maintenance via telomere trimming [GO:0090737]; telomeric loop disassembly [GO:0090657]
D4AUF4	WSCD2_ARTBC	WSC domain-containing protein ARB_07870	response to oxidative stress [GO:0006979]
Q6L3Z0	R1B13_SOLDE	Putative late blight resistance protein homolog R1B-13	plant-type hypersensitive response [GO:0009626]
Q9NYU1	UGGG2_HUMAN	UDP-glucose:glycoprotein glucosyltransferase 2 (UGT2) (hUGT2) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase 2) (UDP-glucose ceramide glucosyltransferase-like 1)	ER-associated misfolded protein catabolic process [GO:0071712]; endoplasmic reticulum mannose trimming [GO:1904380]; protein N-linked glycosylation via asparagine [GO:0018279]
P87154	DPOE_SCHPO	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	"DNA replication proofreading [GO:0045004]; DNA strand elongation involved in mitotic DNA replication [GO:1902983]; base-excision repair, gap-filling [GO:0006287]; chromatin organization [GO:0006325]; leading strand elongation [GO:0006272]; mitotic DNA replication initiation [GO:1902975]; mitotic DNA replication leading strand elongation [GO:1903460]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair, DNA gap filling [GO:0006297]; positive regulation of chromatin silencing at centromere [GO:0090053]; premeiotic DNA replication [GO:0006279]; regulation of CENP-A containing nucleosome assembly [GO:1903097]; regulation of chromatin silencing by small RNA [GO:0010964]"
Q9GQQ0	SPIN_DROME	Protein spinster (Protein benchwarmer) (Protein diphthong)	cellular response to starvation [GO:0009267]; courtship behavior [GO:0007619]; endocytosis [GO:0006897]; endosome to lysosome transport [GO:0008333]; glial cell differentiation [GO:0010001]; glial cell migration [GO:0008347]; larval central nervous system remodeling [GO:0035193]; lipid transport [GO:0006869]; locomotion [GO:0040011]; lysosome organization [GO:0007040]; negative regulation of BMP signaling pathway [GO:0030514]; nurse cell apoptotic process [GO:0045476]; oogenesis [GO:0048477]; programmed cell death [GO:0012501]; regulation of female receptivity [GO:0045924]; regulation of nurse cell apoptotic process [GO:0045477]; regulation of programmed cell death [GO:0043067]; regulation of synaptic growth at neuromuscular junction [GO:0008582]; synaptic growth at neuromuscular junction [GO:0051124]; synaptic vesicle endocytosis [GO:0048488]; transmembrane transport [GO:0055085]
Q8K3Z0	NOD2_MOUSE	Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15)	activation of immune response [GO:0002253]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to peptidoglycan [GO:0071224]; cytokine production involved in immune response [GO:0002367]; cytokine secretion involved in immune response [GO:0002374]; defense response [GO:0006952]; defense response to Gram-positive bacterium [GO:0050830]; defense response to bacterium [GO:0042742]; detection of bacterium [GO:0016045]; detection of biotic stimulus [GO:0009595]; detection of muramyl dipeptide [GO:0032498]; immunoglobulin production involved in immunoglobulin mediated immune response [GO:0002381]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; innate immune response in mucosa [GO:0002227]; intracellular signal transduction [GO:0035556]; macrophage inflammatory protein-1 alpha production [GO:0071608]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell mediated immunity [GO:0002710]; negative regulation of growth of symbiont in host [GO:0044130]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-18 production [GO:0032701]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of macrophage apoptotic process [GO:2000110]; negative regulation of toll-like receptor 2 signaling pathway [GO:0034136]; negative regulation of tumor necrosis factor production [GO:0032720]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of B cell activation [GO:0050871]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of antibacterial peptide biosynthetic process [GO:0006963]; positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria [GO:0006965]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of innate immune response [GO:0045089]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of oxidoreductase activity [GO:0051353]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis [GO:0050766]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of prostaglandin-E synthase activity [GO:2000363]; positive regulation of prostaglandin-endoperoxide synthase activity [GO:0060585]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type 2 immune response [GO:0002830]; positive regulation of xenophagy [GO:1904417]; protein complex oligomerization [GO:0051259]; regulation of inflammatory response [GO:0050727]; regulation of neutrophil chemotaxis [GO:0090022]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; response to peptidoglycan [GO:0032494]; signal transduction [GO:0007165]
Q92793	CBP_HUMAN	CREB-binding protein (EC 2.3.1.48)	"N-terminal peptidyl-lysine acetylation [GO:0018076]; Notch signaling pathway [GO:0007219]; beta-catenin-TCF complex assembly [GO:1904837]; cellular response to UV [GO:0034644]; embryonic digit morphogenesis [GO:0042733]; histone acetylation [GO:0016573]; homeostatic process [GO:0042592]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of type I interferon production [GO:0032481]; protein acetylation [GO:0006473]; protein destabilization [GO:0031648]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; regulation of cellular response to heat [GO:1900034]; regulation of lipid metabolic process [GO:0019216]; regulation of myeloid cell differentiation [GO:0045637]; regulation of smoothened signaling pathway [GO:0008589]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; transcription initiation from RNA polymerase II promoter [GO:0006367]; viral process [GO:0016032]"
Q1I180	SCX1_TITDI	Toxin Td1 (PT-beta* NaTx13.1)	
Q837G3	FPG_ENTFA	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]
Q8N122	RPTOR_HUMAN	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; cell cycle arrest [GO:0007050]; cellular response to amino acid stimulus [GO:0071230]; cellular response to leucine [GO:0071233]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of TOR signaling [GO:0032008]; positive regulation of cell growth [GO:0030307]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of transcription by RNA polymerase III [GO:0045945]; regulation of cell growth [GO:0001558]; regulation of cell size [GO:0008361]; regulation of cellular response to heat [GO:1900034]; regulation of macroautophagy [GO:0016241]; viral process [GO:0016032]
P90740	FAN1_CAEEL	Fanconi-associated nuclease 1 homolog (EC 3.1.4.1)	DNA repair [GO:0006281]; interstrand cross-link repair [GO:0036297]
Q14162	SREC_HUMAN	Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I)	cell adhesion [GO:0007155]; cholesterol catabolic process [GO:0006707]; dendrite development [GO:0016358]; neuron remodeling [GO:0016322]; positive regulation of axon regeneration [GO:0048680]; positive regulation of neuron projection development [GO:0010976]; receptor-mediated endocytosis [GO:0006898]
P51639	HMDH_RAT	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	"aging [GO:0007568]; cholesterol biosynthetic process [GO:0006695]; coenzyme A metabolic process [GO:0015936]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isoprenoid biosynthetic process [GO:0008299]; myoblast differentiation [GO:0045445]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood vessel diameter [GO:0097756]; negative regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061179]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of striated muscle cell apoptotic process [GO:0010664]; negative regulation of wound healing [GO:0061045]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of skeletal muscle tissue development [GO:0048643]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein tetramerization [GO:0051262]; response to ethanol [GO:0045471]; response to nutrient [GO:0007584]; sterol biosynthetic process [GO:0016126]; ubiquinone metabolic process [GO:0006743]; visual learning [GO:0008542]"
